 Morbidade Hospitalar do SUS - por local de residência - Brasil
Internações por Município e Ano atendimento
Lista Morb  CID-10: Dengue [dengue clásssico]
Período:Jan/2008-Set/2025
"Município";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"Total"
"150430 MARACANA";-;96;23;13;25;20;3;3;3;3;1;3;-;-;-;1;4;4;6;208
"150440 MARAPANIM";-;7;7;40;49;8;2;5;3;-;-;2;-;-;-;-;2;1;-;126
"150442 MARITUBA";5;31;43;133;76;44;12;14;14;9;16;25;4;5;-;3;-;8;3;445
"150445 MEDICILANDIA";-;-;-;10;9;10;34;46;36;12;1;-;9;-;7;2;-;3;11;190
"150450 MELGACO";-;1;2;2;5;-;1;1;-;1;-;-;-;-;1;-;-;2;-;16
"150460 MOCAJUBA";2;6;7;4;-;2;1;-;-;-;-;1;-;-;-;10;-;33;11;77
"150470 MOJU";-;103;33;44;19;8;5;1;11;1;3;7;9;-;-;3;-;29;6;282
"150480 MONTE ALEGRE";-;30;31;43;260;60;29;8;40;47;2;1;-;1;-;1;14;76;1;644
"150490 MUANA";-;5;-;1;4;7;1;2;1;5;-;-;-;-;-;-;2;22;8;58
"150495 NOVA ESPERANCA DO PIRIA";-;2;1;1;-;7;7;-;-;4;49;4;-;-;-;1;1;-;9;86
"150497 NOVA IPIXUNA";2;4;-;-;2;-;-;-;-;-;-;-;3;-;-;1;-;15;4;31
"150500 NOVA TIMBOTEUA";-;5;4;2;-;-;-;-;-;1;-;2;-;-;-;1;-;1;1;17
"150503 NOVO PROGRESSO";35;163;12;150;95;14;38;5;4;30;4;1;-;3;3;1;3;16;73;650
"150506 NOVO REPARTIMENTO";5;33;21;21;66;5;9;7;7;10;24;19;13;3;4;2;1;2;21;273
"150510 OBIDOS";-;6;-;-;-;1;16;-;1;18;5;1;1;1;-;-;-;-;1;51
"150520 OEIRAS DO PARA";-;5;3;11;11;2;2;1;-;-;4;-;-;-;-;-;1;21;1;62
"150530 ORIXIMINA";1;48;5;16;34;72;41;59;16;89;18;5;2;-;1;1;1;2;1;412
"150540 OUREM";28;40;11;1;-;3;7;4;6;11;5;11;4;2;-;-;1;1;1;136
"150543 OURILANDIA DO NORTE";3;47;7;48;28;62;86;9;82;46;29;4;55;11;14;6;8;38;109;692
"150548 PACAJA";2;8;42;68;104;53;60;17;27;46;20;4;5;5;6;8;7;85;194;761
"150549 PALESTINA DO PARA";-;97;78;51;71;19;15;12;5;4;29;20;13;1;6;14;2;4;37;478
"150550 PARAGOMINAS";21;103;26;14;24;8;4;1;4;6;6;3;-;-;-;1;11;2;7;241
"150553 PARAUAPEBAS";27;356;89;47;61;23;9;7;15;11;23;10;24;3;3;29;6;60;87;890
"150555 PAU D'ARCO";4;20;18;17;38;14;16;8;2;10;10;4;-;1;-;5;14;40;13;234
"150560 PEIXE-BOI";-;3;2;5;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;12
"150563 PICARRA";9;89;22;54;48;37;25;1;-;2;-;2;3;-;1;8;2;5;9;317
"150565 PLACAS";1;3;41;105;80;99;242;49;57;35;14;8;29;2;1;4;-;3;39;812
"150570 PONTA DE PEDRAS";-;-;35;1;5;13;21;33;45;11;-;3;1;-;-;-;-;2;14;184
"150580 PORTEL";2;6;4;49;10;6;9;12;13;10;2;-;-;-;1;1;2;21;31;179
