 Morbidade Hospitalar do SUS - por local de residência - Brasil
Internações por Município e Ano atendimento
Lista Morb  CID-10: Dengue [dengue clásssico]
Período:Jan/2008-Set/2025
"Município";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"Total"
"230200 BARRO";-;1;4;22;20;25;24;41;57;19;3;2;1;-;-;2;1;9;1;232
"230205 BARROQUINHA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;4;-;5
"230210 BATURITE";2;42;6;7;39;2;7;6;15;6;7;2;1;2;18;5;2;2;-;171
"230220 BEBERIBE";-;41;19;16;49;9;12;28;34;7;4;1;9;5;15;12;2;4;3;270
"230230 BELA CRUZ";-;-;1;-;13;1;-;1;2;-;-;-;-;-;3;4;3;-;-;28
"230240 BOA VIAGEM";-;82;12;17;103;25;28;11;62;20;5;-;3;3;4;13;31;12;9;440
"230250 BREJO SANTO";1;57;33;172;92;85;78;77;373;95;189;14;44;32;15;46;52;206;49;1710
"230260 CAMOCIM";-;7;-;1;13;5;6;1;1;1;-;-;1;-;-;2;18;2;-;58
"230270 CAMPOS SALES";-;1;60;106;16;12;9;35;7;38;8;-;2;3;3;1;-;5;6;312
"230280 CANINDE";2;58;33;6;54;40;18;25;7;17;17;3;5;1;12;24;6;10;1;339
"230290 CAPISTRANO";-;28;5;2;10;3;1;-;1;7;1;-;-;1;7;1;-;2;-;69
"230300 CARIDADE";-;5;2;1;6;3;15;2;-;3;1;2;-;-;4;2;2;-;-;48
"230310 CARIRE";-;12;9;-;-;-;-;-;9;-;-;-;-;-;4;-;-;2;-;36
"230320 CARIRIACU";-;27;2;47;8;14;3;2;9;4;6;2;8;21;2;-;-;2;3;160
"230330 CARIUS";-;2;-;3;3;-;4;5;2;-;-;-;5;-;-;-;2;4;1;31
"230340 CARNAUBAL";-;-;-;-;-;-;-;-;-;1;-;-;-;1;2;-;-;1;-;5
"230350 CASCAVEL";-;99;19;21;29;13;58;21;40;11;13;1;41;27;23;23;2;2;2;445
"230360 CATARINA";-;-;-;39;10;-;-;1;-;6;-;-;1;8;-;-;1;-;1;67
"230365 CATUNDA";4;30;-;1;6;1;22;1;5;5;5;3;2;1;-;-;-;-;-;86
"230370 CAUCAIA";-;386;41;76;302;126;69;74;205;83;86;20;23;29;100;25;9;16;10;1680
"230380 CEDRO";6;108;8;11;5;1;56;5;15;8;1;3;4;4;2;9;2;2;2;252
"230390 CHAVAL";-;-;13;6;14;8;-;-;-;-;-;-;1;-;-;-;-;1;-;43
"230393 CHORO";-;1;-;-;5;3;3;2;-;4;1;-;2;3;1;3;1;6;-;35
"230395 CHOROZINHO";-;13;7;-;4;6;9;1;3;-;1;-;-;-;5;1;-;1;-;51
"230400 COREAU";-;43;45;7;29;5;5;2;6;4;-;-;-;-;-;5;-;-;-;151
"230410 CRATEUS";-;121;31;303;241;25;66;23;44;24;16;2;8;5;-;6;1;18;1;935
"230420 CRATO";2;105;48;313;179;252;37;32;41;26;8;1;15;21;4;6;4;29;29;1152
"230423 CROATA";-;-;2;1;5;4;-;-;1;-;-;-;-;-;2;10;-;1;2;28
"230425 CRUZ";-;2;-;-;-;-;3;1;-;-;2;2;2;-;2;3;8;7;-;32
"230426 DEPUTADO IRAPUAN PINHEIRO";-;1;-;3;-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;7
"230427 ERERE";-;1;-;4;3;-;1;1;-;-;-;-;2;-;-;-;-;-;-;12
"230428 EUSEBIO";1;7;10;-;6;4;1;19;33;3;2;1;2;4;6;8;-;1;1;109
"230430 FARIAS BRITO";-;2;5;9;7;5;2;-;7;7;21;4;1;2;-;-;-;2;5;79
"230435 FORQUILHA";-;1;-;1;1;2;1;1;1;-;-;-;-;-;4;6;-;-;-;18
"230440 FORTALEZA";7;2986;361;727;2110;1361;755;675;1786;822;587;230;500;768;1383;369;227;195;119;15968
"230445 FORTIM";-;4;-;-;8;3;3;5;1;-;2;-;3;1;5;2;1;11;4;53
"230450 FRECHEIRINHA";-;32;26;6;10;11;2;-;6;1;-;-;-;1;2;-;-;1;1;99
"230460 GENERAL SAMPAIO";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"230465 GRACA";-;13;5;-;3;-;1;-;1;2;-;-;-;-;-;2;1;4;-;32
"230470 GRANJA";-;26;28;63;258;40;16;17;16;13;3;1;-;-;1;-;-;-;-;482
"230480 GRANJEIRO";-;1;-;1;-;-;-;-;-;1;1;-;5;1;-;1;1;1;-;13
"230490 GROAIRAS";-;5;1;-;2;2;-;-;1;-;-;-;-;-;1;5;3;-;1;21
"230495 GUAIUBA";-;7;1;11;20;4;7;4;1;2;1;-;-;1;1;-;1;-;-;61
"230500 GUARACIABA DO NORTE";-;-;-;-;12;4;1;5;18;8;-;1;-;-;-;3;4;2;-;58
"230510 GUARAMIRANGA";-;1;-;-;1;-;1;-;1;-;-;-;-;1;1;-;-;1;-;7
"230520 HIDROLANDIA";-;1;2;1;26;3;2;24;10;2;-;-;-;-;-;2;-;1;-;74
"230523 HORIZONTE";-;40;6;2;13;2;23;4;35;2;3;2;4;5;34;1;-;4;-;180
"230526 IBARETAMA";-;12;1;1;7;7;5;-;2;4;4;1;-;-;5;2;2;1;-;54
"230530 IBIAPINA";-;1;1;-;5;-;-;1;3;-;1;-;1;-;-;2;-;1;-;16
"230533 IBICUITINGA";-;3;-;-;7;-;-;1;-;-;-;-;-;2;-;4;-;-;-;17
"230535 ICAPUI";-;21;-;3;5;1;2;1;-;1;-;-;2;2;-;2;2;1;2;45
"230540 ICO";1;56;-;85;115;37;14;30;45;74;15;28;39;68;2;4;3;36;9;661
"230550 IGUATU";1;116;53;93;328;77;76;61;175;28;5;57;174;31;21;7;8;21;7;1339
"230560 INDEPENDENCIA";-;57;22;57;9;5;9;13;4;6;4;1;2;-;-;2;5;1;-;197
"230565 IPAPORANGA";-;70;2;36;21;5;4;5;12;2;1;1;-;20;-;-;1;2;3;185
"230570 IPAUMIRIM";-;12;-;7;13;1;10;2;9;1;3;4;3;-;-;-;7;-;1;73
"230580 IPU";-;30;4;2;30;3;6;16;101;3;2;-;-;-;-;2;1;1;1;202
"230590 IPUEIRAS";3;12;1;-;1;-;-;9;21;16;2;-;-;-;2;1;-;3;-;71
"230600 IRACEMA";-;-;-;-;7;1;1;7;2;4;5;-;1;1;5;2;3;1;2;42
"230610 IRAUCUBA";-;11;1;2;49;-;4;-;-;12;3;-;1;15;6;1;-;-;-;105
"230620 ITAICABA";-;-;-;1;2;1;-;4;1;-;-;-;2;-;1;-;-;-;-;12
"230625 ITAITINGA";-;11;2;4;14;-;-;8;16;3;1;1;-;4;4;8;-;5;2;83
"230630 ITAPAGE";2;41;24;10;106;28;23;11;8;12;3;-;-;5;3;5;1;5;3;290
"230640 ITAPIPOCA";2;76;10;205;380;157;426;144;84;25;1;-;1;2;44;57;3;12;10;1639
"230650 ITAPIUNA";1;5;1;17;14;1;7;7;3;1;2;-;-;1;-;-;-;1;-;61
"230655 ITAREMA";-;-;1;-;1;-;1;1;8;1;-;-;-;1;17;5;8;1;-;45
"230660 ITATIRA";-;2;1;1;6;1;2;1;-;1;1;-;-;-;-;1;-;-;-;17
"230670 JAGUARETAMA";-;-;-;-;-;-;-;-;3;3;1;-;6;-;2;7;9;2;1;34
"230680 JAGUARIBARA";-;3;-;-;5;1;1;2;3;2;10;-;1;2;3;9;11;4;-;57
"230690 JAGUARIBE";-;16;7;14;34;16;20;61;8;13;11;3;4;-;8;27;233;10;11;496
"230700 JAGUARUANA";-;8;2;4;2;2;2;7;2;3;-;8;8;4;31;12;2;2;-;99
"230710 JARDIM";-;1;1;4;3;3;1;17;90;3;2;3;18;4;-;5;-;5;36;196
"230720 JATI";-;2;-;13;6;18;9;12;2;2;-;-;6;-;-;8;6;18;36;138
"230725 JIJOCA DE JERICOACOARA";-;-;-;-;-;-;-;-;6;-;-;-;-;-;2;2;3;5;-;18
"230730 JUAZEIRO DO NORTE";-;114;42;193;67;80;12;60;55;76;22;4;15;64;9;11;4;33;16;877
"230740 JUCAS";1;23;6;9;75;3;1;-;3;-;1;-;-;-;-;1;-;11;4;138
"230750 LAVRAS DA MANGABEIRA";1;231;2;39;62;16;5;58;91;113;60;25;9;7;-;151;4;37;2;913
"230760 LIMOEIRO DO NORTE";-;24;6;7;32;30;8;18;16;20;3;2;11;13;16;41;68;26;33;374
"230763 MADALENA";-;-;1;1;8;8;17;1;23;2;1;-;-;1;3;5;1;2;1;75
"230765 MARACANAU";-;67;11;17;112;32;46;26;65;15;21;12;16;13;143;20;7;19;10;652
"230770 MARANGUAPE";-;24;5;6;30;17;29;10;41;12;23;2;16;13;61;7;9;11;8;324
"230780 MARCO";1;8;1;-;-;3;-;-;-;2;1;-;1;-;3;6;10;-;1;37
"230790 MARTINOPOLE";-;1;-;-;2;-;-;-;-;-;1;-;-;-;-;1;-;-;-;5
"230800 MASSAPE";1;12;6;32;10;5;-;-;2;1;2;-;-;-;1;3;1;1;-;77
"230810 MAURITI";-;3;5;81;78;14;46;21;73;29;18;16;57;20;2;56;13;23;5;560
"230820 MERUOCA";-;2;6;2;3;3;-;1;3;-;-;1;-;-;1;3;-;1;-;26
"230830 MILAGRES";5;123;12;20;14;9;5;10;5;15;30;-;7;9;3;28;19;70;49;433
"230835 MILHA";-;-;-;-;3;1;1;-;1;1;1;5;-;-;-;6;-;3;-;22
"230837 MIRAIMA";-;2;-;4;11;10;14;1;3;1;1;-;-;1;2;2;-;-;-;52
"230840 MISSAO VELHA";1;260;146;449;105;152;72;198;519;451;96;12;85;69;1;7;6;13;56;2698
"230850 MOMBACA";-;11;22;68;57;8;16;4;11;7;6;-;14;8;1;9;-;16;-;258
"230860 MONSENHOR TABOSA";27;223;18;13;338;11;26;4;72;38;14;-;-;-;-;3;1;1;1;790
"230870 MORADA NOVA";-;5;1;-;1;2;11;6;38;5;5;4;3;7;16;23;6;4;2;139
"230880 MORAUJO";-;6;-;-;6;-;1;-;-;-;-;-;-;1;-;-;-;-;1;15
"230890 MORRINHOS";-;1;-;-;3;2;-;-;2;-;-;-;-;-;-;2;-;-;-;10
"230900 MUCAMBO";2;53;39;-;4;1;20;3;53;-;2;-;-;-;1;2;-;1;1;182
"230910 MULUNGU";-;-;-;-;1;1;1;-;1;-;-;-;-;-;-;-;-;1;-;5
"230920 NOVA OLINDA";3;10;8;62;21;10;6;13;3;3;3;1;1;-;-;3;-;2;7;156
"230930 NOVA RUSSAS";-;4;-;2;4;-;1;-;15;11;-;-;-;-;-;2;1;-;-;40
"230940 NOVO ORIENTE";5;140;57;222;240;115;133;47;64;56;6;7;1;1;-;12;3;7;-;1116
"230945 OCARA";-;16;7;4;30;16;19;2;35;7;1;2;-;-;4;1;2;-;1;147
"230950 OROS";5;68;11;121;246;2;14;16;13;8;9;1;5;2;1;-;-;4;14;540
"230960 PACAJUS";-;5;1;11;23;24;18;5;12;-;11;1;-;2;34;5;-;2;3;157
"230970 PACATUBA";-;49;5;48;46;4;16;6;13;13;7;2;12;4;33;8;2;-;-;268
"230980 PACOTI";-;2;2;1;2;3;3;10;31;27;2;1;12;10;1;1;-;-;1;109
"230990 PACUJA";-;4;2;-;1;-;1;-;1;1;-;-;-;-;-;-;1;-;-;11
"231000 PALHANO";1;-;-;1;-;-;3;2;17;2;6;-;6;3;2;-;1;-;-;44
"231010 PALMACIA";-;2;9;-;5;3;-;-;-;-;-;-;1;1;1;3;-;-;-;25
"231020 PARACURU";-;4;4;-;1;18;4;7;23;3;3;-;1;4;3;2;1;2;-;80
"231025 PARAIPABA";-;7;1;6;2;-;-;-;1;-;-;-;-;-;3;2;-;-;1;23
"231030 PARAMBU";5;72;24;177;120;52;65;41;15;31;12;1;9;3;-;20;7;20;2;676
"231040 PARAMOTI";-;1;-;-;5;1;2;1;1;1;-;-;3;1;-;-;2;1;-;19
"231050 PEDRA BRANCA";-;-;2;-;1;-;-;-;1;1;3;1;-;4;1;1;1;-;2;18
"231060 PENAFORTE";-;2;4;10;12;2;1;2;4;13;2;-;2;6;-;4;6;14;72;156
"231070 PENTECOSTE";-;20;5;106;58;12;11;52;57;17;-;-;1;4;21;6;2;2;1;375
"231080 PEREIRO";-;33;14;9;21;21;11;74;14;3;2;1;13;2;3;2;1;-;5;229
"231085 PINDORETAMA";-;2;-;-;5;7;4;1;6;-;-;-;-;2;2;5;-;-;-;34
"231090 PIQUET CARNEIRO";-;6;1;12;21;10;6;13;9;3;3;1;9;2;1;-;-;7;-;104
"231095 PIRES FERREIRA";-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;2;-;-;-;5
"231100 PORANGA";-;3;1;1;3;-;2;1;7;3;-;-;-;-;11;4;-;8;4;48
"231110 PORTEIRAS";-;1;1;17;13;10;4;10;7;-;8;2;20;-;-;6;24;101;10;234
"231120 POTENGI";-;23;37;31;26;9;17;22;3;5;1;-;-;-;1;2;-;2;-;179
"231123 POTIRETAMA";-;1;-;-;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;4
"231126 QUITERIANOPOLIS";-;1;1;5;5;3;7;-;1;2;-;1;-;-;-;1;-;1;-;28
"231130 QUIXADA";20;84;1;6;145;24;34;12;9;77;13;6;4;13;72;117;9;13;15;674
"231135 QUIXELO";-;2;1;1;4;4;26;11;4;2;-;1;19;1;1;2;1;2;1;83
"231140 QUIXERAMOBIM";-;19;5;4;50;56;26;50;108;20;3;4;8;32;13;27;22;5;3;455
"231150 QUIXERE";-;3;-;-;7;3;2;2;2;2;3;2;7;1;19;1;9;15;1;79
"231160 REDENCAO";4;400;22;5;97;44;29;17;15;5;9;1;4;2;5;5;4;1;14;683
"231170 RERIUTABA";-;17;10;3;12;1;3;2;10;-;-;-;-;-;-;1;-;3;-;62
"231180 RUSSAS";9;292;31;22;56;47;73;179;167;200;45;35;187;15;197;32;26;22;15;1650
"231190 SABOEIRO";-;6;10;7;18;4;3;3;3;-;2;-;3;4;1;-;-;-;-;64
"231195 SALITRE";-;3;8;30;16;8;3;8;1;5;-;-;-;-;-;-;-;6;8;96
"231200 SANTANA DO ACARAU";1;44;3;-;29;2;4;2;4;-;-;-;-;-;1;4;-;1;-;95
"231210 SANTANA DO CARIRI";-;1;6;23;35;24;4;15;15;11;1;3;1;-;-;-;1;3;7;150
"231220 SANTA QUITERIA";-;69;36;76;259;41;14;41;88;6;4;6;2;1;3;4;2;2;3;657
"231230 SAO BENEDITO";-;1;-;1;1;-;-;-;-;-;-;-;1;1;1;1;-;1;2;10
"231240 SAO GONCALO DO AMARANTE";-;15;2;5;56;6;9;4;13;10;2;-;1;2;6;5;3;4;1;144
"231250 SAO JOAO DO JAGUARIBE";-;-;2;-;1;1;-;-;2;2;-;-;-;-;1;-;-;-;-;9
"231260 SAO LUIS DO CURU";-;7;1;-;2;-;-;1;7;-;-;-;-;-;5;-;-;-;-;23
"231270 SENADOR POMPEU";-;4;2;1;15;4;2;2;6;1;-;-;1;2;2;2;4;-;-;48
"231280 SENADOR SA";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"231290 SOBRAL";2;89;18;12;42;16;14;19;76;4;7;1;3;4;48;138;37;37;13;580
"231300 SOLONOPOLE";-;1;-;-;-;-;-;-;-;1;-;3;3;1;-;-;2;-;2;13
"231310 TABULEIRO DO NORTE";-;1;1;9;30;4;5;17;19;35;23;2;10;4;36;40;42;16;39;333
"231320 TAMBORIL";-;89;186;71;144;28;51;31;117;48;1;1;1;-;5;3;1;5;1;783
"231325 TARRAFAS";-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;2;1;5
"231330 TAUA";-;77;74;467;59;97;124;115;35;95;1;-;7;1;6;14;11;133;4;1320
"231335 TEJUCUOCA";-;5;-;-;6;1;1;-;-;-;-;-;-;2;4;4;-;-;-;23
"231340 TIANGUA";-;3;-;3;6;-;8;8;47;5;-;1;-;1;16;26;15;16;5;160
"231350 TRAIRI";-;-;2;4;17;6;7;17;38;2;-;-;1;-;2;7;6;-;3;112
"231355 TURURU";-;-;1;1;26;5;6;6;7;-;-;-;1;-;2;-;3;-;-;58
"231360 UBAJARA";-;13;5;-;15;2;4;2;1;3;1;2;1;-;3;6;3;8;-;69
"231370 UMARI";-;1;1;-;4;-;-;1;-;-;1;-;-;1;1;-;-;2;-;12
"231375 UMIRIM";-;3;1;-;3;-;-;2;1;2;-;-;-;1;-;-;-;-;-;13
"231380 URUBURETAMA";-;5;-;1;9;1;11;5;4;-;-;-;-;-;5;2;-;-;-;43
"231390 URUOCA";-;1;-;1;1;2;1;-;-;1;-;-;-;-;-;-;-;-;1;8
"231395 VARJOTA";-;13;17;5;84;4;26;1;5;-;-;1;-;-;3;1;1;-;-;161
"231400 VARZEA ALEGRE";-;20;5;4;19;5;4;3;194;24;62;12;12;10;1;1;-;14;1;391
"231410 VICOSA DO CEARA";-;-;-;-;1;-;1;1;7;4;-;-;-;6;23;6;5;5;4;63
"240010 ACARI";4;66;2;4;15;21;17;3;-;92;6;-;3;-;-;-;-;-;-;233
"240020 ACU";-;29;6;4;27;17;8;4;2;5;5;8;18;2;-;1;-;2;-;138
"240030 AFONSO BEZERRA";1;9;-;1;13;1;-;-;-;2;1;1;-;-;-;2;-;-;-;31
"240040 AGUA NOVA";-;-;-;-;-;2;-;-;-;-;-;1;-;-;-;-;-;3;-;6
"240050 ALEXANDRIA";4;67;41;107;386;193;240;236;188;721;59;63;196;11;2;73;32;51;65;2735
"240060 ALMINO AFONSO";2;57;42;60;44;105;55;24;28;230;6;-;2;1;2;-;1;-;1;660
"240070 ALTO DO RODRIGUES";-;1;-;1;1;-;-;1;-;2;-;1;1;-;-;-;-;-;1;9
"240080 ANGICOS";2;54;3;2;37;57;21;40;3;14;2;-;14;-;-;-;1;1;-;251
"240090 ANTONIO MARTINS";4;32;22;15;74;10;19;8;9;1;-;1;-;1;-;10;-;-;3;209
"240100 APODI";-;16;3;2;20;14;7;3;4;9;-;2;-;2;1;6;2;3;2;96
"240110 AREIA BRANCA";-;11;-;1;7;3;2;1;1;1;1;3;4;1;-;-;-;-;-;36
"240120 ARES";-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;2
"240130 AUGUSTO SEVERO";-;10;7;6;16;12;2;1;1;2;-;-;-;-;-;-;-;-;-;57
"240140 BAIA FORMOSA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"240145 BARAUNA";-;16;6;4;49;12;1;-;4;6;2;10;3;1;1;5;-;-;3;123
"240150 BARCELONA";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"240160 BENTO FERNANDES";-;6;-;-;5;1;-;-;1;-;-;2;-;-;-;-;-;-;-;15
"240165 BODO";-;2;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;5
"240170 BOM JESUS";-;6;-;-;-;-;-;-;-;1;-;1;1;-;1;1;-;-;-;11
"240180 BREJINHO";-;1;-;-;-;-;-;3;3;-;1;1;5;-;-;2;-;1;-;17
"240185 CAICARA DO NORTE";-;1;-;-;-;-;1;-;-;-;-;-;1;-;-;1;-;-;-;4
"240190 CAICARA DO RIO DO VENTO";-;2;-;-;2;-;1;-;2;-;-;2;-;-;-;2;-;-;-;11
"240200 CAICO";1;18;2;3;23;18;74;82;28;29;7;13;7;5;2;8;4;6;7;337
"240210 CAMPO REDONDO";-;86;4;8;1;4;6;1;-;2;-;2;5;-;-;2;-;2;-;123
"240220 CANGUARETAMA";-;1;-;1;15;4;1;13;5;7;1;4;1;3;2;2;-;1;-;61
"240230 CARAUBAS";2;54;41;57;95;139;45;35;19;122;9;5;3;-;1;11;-;-;-;638
"240240 CARNAUBA DOS DANTAS";-;12;1;2;8;1;3;1;-;2;-;1;2;-;-;-;-;-;-;33
"240250 CARNAUBAIS";-;2;1;1;1;1;-;-;-;-;-;-;3;-;-;-;-;-;-;9
"240260 CEARA-MIRIM";1;19;7;5;15;7;1;1;2;3;2;41;7;1;1;16;4;19;8;160
"240270 CERRO CORA";1;-;-;-;-;-;2;-;-;1;-;2;5;-;-;-;-;10;1;22
"240280 CORONEL EZEQUIEL";-;5;1;8;3;1;2;-;-;-;-;-;-;-;-;-;-;-;-;20
"240290 CORONEL JOAO PESSOA";7;36;12;4;19;19;5;28;7;1;2;-;-;-;-;-;-;-;-;140
"240300 CRUZETA";-;12;-;3;9;5;5;-;1;3;-;-;1;-;-;-;-;-;-;39
"240310 CURRAIS NOVOS";3;31;-;1;4;3;3;5;4;15;1;30;8;1;1;3;1;1;-;115
"240320 DOUTOR SEVERIANO";-;19;2;7;77;4;14;6;13;2;-;2;1;-;-;-;-;-;9;156
"240325 PARNAMIRIM";-;21;1;9;23;7;13;12;5;7;2;15;26;4;1;14;2;4;-;166
"240330 ENCANTO";-;1;1;1;9;-;6;3;2;-;-;-;1;1;-;-;-;-;3;28
"240340 EQUADOR";-;3;-;-;3;2;4;10;3;33;-;-;-;-;-;3;-;-;-;61
"240350 ESPIRITO SANTO";-;1;-;1;3;2;3;1;-;-;-;1;-;1;-;-;-;-;-;13
"240360 EXTREMOZ";-;3;2;1;2;3;-;1;3;2;1;8;2;1;-;19;2;2;-;52
"240370 FELIPE GUERRA";-;1;-;-;-;-;4;-;-;4;-;-;-;-;-;-;-;-;-;9
"240375 FERNANDO PEDROZA";-;-;-;-;2;2;4;2;2;1;-;-;1;-;-;-;-;-;-;14
"240380 FLORANIA";8;164;38;1;1;7;70;2;-;2;-;1;1;1;-;-;1;-;-;297
"240390 FRANCISCO DANTAS";-;9;-;3;8;3;25;6;-;14;-;-;-;-;-;-;-;-;-;68
"240400 FRUTUOSO GOMES";1;19;4;6;21;9;31;4;5;10;1;-;1;1;-;-;-;2;-;115
"240410 GALINHOS";1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"240420 GOIANINHA";-;-;-;1;2;-;-;3;-;-;-;8;15;1;-;2;-;2;2;36
"240430 GOVERNADOR DIX-SEPT ROSADO";5;60;8;22;51;16;-;-;-;-;1;-;-;-;-;-;-;-;-;163
"240440 GROSSOS";-;-;-;1;1;2;-;-;-;-;-;-;3;-;-;2;-;-;-;9
"240450 GUAMARE";9;14;2;5;9;7;7;-;-;4;2;10;3;2;-;57;1;5;-;137
"240460 IELMO MARINHO";1;3;-;-;1;-;-;-;-;-;-;4;-;-;-;1;-;-;-;10
"240470 IPANGUACU";-;7;2;-;3;-;-;-;1;1;-;1;1;1;1;-;-;2;1;21
"240480 IPUEIRA";-;-;-;-;1;-;1;2;-;1;-;-;-;-;-;-;-;-;-;5
"240485 ITAJA";-;1;-;1;2;1;1;-;-;-;-;1;-;-;-;-;-;-;-;7
"240490 ITAU";-;8;3;5;45;12;16;4;2;3;-;-;-;-;-;-;-;1;1;100
"240500 JACANA";-;78;9;11;7;2;3;1;-;-;-;1;-;-;-;1;-;-;-;113
"240510 JANDAIRA";-;7;1;-;-;1;-;-;-;-;-;6;1;-;-;-;-;-;-;16
"240520 JANDUIS";-;-;-;2;5;3;-;1;-;9;-;2;-;1;-;1;-;-;1;25
"240530 JANUARIO CICCO";-;1;-;1;55;1;-;-;-;-;-;1;2;-;1;2;-;-;-;64
"240540 JAPI";-;4;-;1;3;1;-;-;-;2;-;-;1;-;-;-;-;-;-;12
"240550 JARDIM DE ANGICOS";-;3;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;4
"240560 JARDIM DE PIRANHAS";-;4;2;2;3;1;33;19;7;1;-;11;2;-;-;8;1;-;-;94
"240570 JARDIM DO SERIDO";2;4;17;34;1;20;15;15;4;78;-;16;10;1;1;2;1;2;-;223
"240580 JOAO CAMARA";1;49;7;26;63;12;2;3;3;2;-;10;-;1;-;5;2;1;-;187
"240590 JOAO DIAS";-;9;3;4;9;3;-;2;-;1;2;-;-;-;-;-;-;-;-;33
"240600 JOSE DA PENHA";-;26;1;5;10;13;6;1;-;14;1;1;-;-;-;-;1;1;7;87
"240610 JUCURUTU";-;4;4;-;6;1;2;3;-;7;2;5;1;-;1;4;6;1;2;49
"240615 JUNDIA";-;-;-;-;1;-;-;-;-;-;1;-;1;-;1;1;-;-;-;5
"240620 LAGOA D'ANTA";2;4;2;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;11
"240630 LAGOA DE PEDRAS";-;-;-;-;1;-;-;-;-;1;-;6;-;-;-;-;-;-;-;8
"240640 LAGOA DE VELHOS";-;2;-;1;-;-;2;-;1;-;-;1;-;-;-;-;-;-;-;7
"240650 LAGOA NOVA";-;26;1;-;12;1;22;2;8;2;1;8;9;-;-;2;-;2;-;96
"240660 LAGOA SALGADA";-;-;-;-;-;-;-;-;-;-;-;1;2;1;-;-;-;-;-;4
"240670 LAJES";1;96;18;12;20;5;34;3;8;132;1;22;3;1;1;7;-;6;-;370
"240680 LAJES PINTADAS";-;5;-;9;-;1;1;-;1;1;-;-;1;-;-;2;-;-;-;21
"240690 LUCRECIA";-;2;-;1;21;14;12;1;2;17;-;-;-;2;-;1;1;13;-;87
"240700 LUIS GOMES";-;9;-;3;21;4;11;14;4;4;-;-;-;-;-;1;1;10;-;82
"240710 MACAIBA";-;30;3;5;17;5;2;2;-;2;1;13;4;-;1;3;-;1;-;89
"240720 MACAU";6;78;-;1;24;6;-;-;1;11;-;3;2;1;3;5;-;-;2;143
"240725 MAJOR SALES";-;-;-;2;4;-;8;21;1;-;-;-;-;-;-;-;-;-;-;36
"240730 MARCELINO VIEIRA";-;5;-;114;132;66;93;40;18;4;2;1;-;-;-;-;-;-;1;476
"240740 MARTINS";-;31;7;10;21;58;44;9;2;8;-;-;-;-;-;1;-;-;2;193
"240750 MAXARANGUAPE";-;3;1;-;2;-;-;-;-;-;-;-;-;-;-;2;-;-;1;9
"240760 MESSIAS TARGINO";-;5;-;2;2;5;-;2;-;-;-;-;-;-;-;1;-;-;-;17
"240770 MONTANHAS";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;1;-;-;4
"240780 MONTE ALEGRE";-;7;2;1;2;3;1;-;-;-;-;1;1;-;-;7;1;1;1;28
"240790 MONTE DAS GAMELEIRAS";-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;3
"240800 MOSSORO";1;231;15;45;90;26;5;11;2;8;3;26;13;2;1;7;7;7;3;503
"240810 NATAL";17;335;26;125;138;96;34;38;35;106;12;191;90;12;18;125;23;30;15;1466
"240820 NISIA FLORESTA";-;1;-;1;2;-;1;-;-;-;-;2;2;-;-;1;3;-;-;13
"240830 NOVA CRUZ";-;5;1;3;8;1;1;-;-;5;-;2;1;-;-;3;1;5;-;36
"240840 OLHO-D'AGUA DO BORGES";-;8;4;3;21;-;-;2;-;2;-;-;-;-;-;-;-;-;-;40
"240850 OURO BRANCO";-;-;-;1;1;1;-;1;-;-;-;3;-;-;-;-;-;-;-;7
"240860 PARANA";-;7;-;10;19;22;17;6;6;1;-;-;1;1;-;-;-;-;4;94
"240870 PARAU";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"240880 PARAZINHO";-;9;1;-;1;1;-;-;-;-;-;1;-;-;-;1;-;-;-;14
"240890 PARELHAS";4;66;8;26;21;36;31;35;7;28;1;5;1;10;-;14;1;-;-;294
"240895 RIO DO FOGO";-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;3;-;-;-;5
"240910 PASSA E FICA";-;2;-;-;1;1;1;2;1;-;-;3;1;-;-;1;-;1;-;14
"240920 PASSAGEM";-;-;-;-;2;-;-;1;-;-;-;1;1;-;-;-;-;-;-;5
"240930 PATU";-;39;6;14;9;4;4;2;4;3;-;2;-;-;-;-;-;-;-;87
